REF;Nimi;Sarake1;REF2;Sarake3;OHS/kpl;Ohs;ALV %;MHS;Valuutta;Sarake6
HW70AL100P09000;Asahi Hyperion Amplatz Left 7F 90cm AL1.0;;HW70AL100P09000;;36;36;24,00;79;EUR;True
HW60HS010P10000;Asahi Hyperion Hockey Stick 6F 100cm HS01;;HW60HS010P10000;;36;36;24,00;79;EUR;True
HW60JL400P10000;Asahi Hyperion Judkins Left 6F 100cm JL4.0;;HW60JL400P10000;;36;36;24,00;79;EUR;True
HW60JL350P10000;Asahi Hyperion Judkins Left 6F 100cm LJ3.5;;HW60JL350P10000;;36;36;24,00;79;EUR;True
HW70JL350P10000;Asahi Hyperion Judkins Left 7F 100cm JL3.5;;HW70JL350P10000;;36;36;24,00;79;EUR;True
HW70JL400P10000;Asahi Hyperion Judkins Left 7F 100cm JL4.0;;HW70JL400P10000;;36;36;24,00;79;EUR;True
HW60JR400P10000;Asahi Hyperion Judkins Right 6F 100cm JR4.0;;HW60JR400P10000;;36;36;24,00;79;EUR;True
HW70JR400P10000;Asahi Hyperion Judkins Right 7F 100cm JR4.0;;HW70JR400P10000;;36;36;24,00;79;EUR;True
HW60PB400P10000;Asahi Hyperion Power Backup 6F 100cm PB4.0;;HW60PB400P10000;;36;36;24,00;79;EUR;True
HW60PB350P10000;Asahi Hyperion Power Packup 6F 100cm PB3.5;;HW60PB350P10000;;36;36;24,00;79;EUR;True
HW60AL070P10002;Asahi Hyperion Short Amplatz Left 6F 100cm SAL0.75;;HW60AL070P10002;;36;36;24,00;79;EUR;True
HW60AL100P10002;Asahi Hyperion Short Amplatz Left 6F 100cm SAL1.0;;HW60AL100P10002;;36;36;24,00;79;EUR;True
HW60SC350P10000;Asahi Hyperion Special Curve 6F 100cm SC3.5;;HW60SC350P10000;;36;36;24,00;79;EUR;True
HW70SC350P10000;Asahi Hyperion Special Curve 7F 100cm SC3.5;;HW70SC350P1000;;36;36;24,00;79;EUR;True
HW60SP350P10000;Asahi Hyperion Super Power Backup 6F 100cm SPB3.5;;HW60SP350P10000;;36;36;24,00;79;EUR;True
HW60SP370P10000;Asahi Hyperion Super Power Backup 6F 100cm SPB3.75 ;;HW60SP370P10000;;36;36;24,00;79;EUR;True
HW60SP400P10000;Asahi Hyperion Super Power Backup 6F 100cm SPB4.0;;HW60SP400P10000;;36;36;24,00;79;EUR;True
HW70SP350P10000;Asahi Hyperion Super Power Backup 7F 100cm SPB3.5;;HW70SP350P10000;;36;36;24,00;79;EUR;True
HW70SP370P10000;Asahi Hyperion Super Power Backup 7F 100cm SPB3.75;;HW70SP370P10000;;36;36;24,00;79;EUR;True
HW70SP400P10000;Asahi Hyperion Super Power Backup 7F 100cm SPB4.0;;HW70SP400P10000;;36;36;24,00;79;EUR;True
HW70SP350P09000;Asahi Hyperion Super Power Backup 7F 90cm SPB3.5;;HW70SP350P09000;;36;36;24,00;79;EUR;True
HW70SP352P09000;Asahi Hyperion Super Power Backup 7F 90cm SPB3.5 SH;;HW70SP352P09000;;36;36;24,00;79;EUR;True
HW70SP400P09000;Asahi Hyperion Super Power Backup 7F 90cm SPB4.0;;HW70SP400P09000;;36;36;24,00;79;EUR;True
WMST125-27HF;Asahi Masters Parkway HF 125cm straight;;WMST125-27HF;;180;180;24,00;;;True
WMST125-27HFK;Asahi Masters Parkway HF kit 125cm angle;;WMST125-27HFK;;210;210;24,00;495;EUR;True
WMST125-27HFKM;Asahi Masters Parkway HF Kit 125cm Multi curve;;WMST125-27HFKM;;210;210;24,00;495;EUR;True
WMST125-18PWSF;Asahi Masters Parkway Soft 125 cm straight;;WMST125-18PWSF;;200;200;24,00;450;EUR;True
WAMS-180-1645;"ASAHI Meister 16 180cm 0,016"" Angled 45";;WAMS-180-1645;;40;40;24,00;;;True
WAMS-180-16WA;"ASAHI Meister 16 180cm 0,016"" Angled double";;WAMS-180-16WA;;40;40;24,00;;;True
WAMS-180-16ST;"ASAHI Meister 16 180cm 0,016"" Round curve";;WAMS-180-16ST;;40;40;24,00;;;True
WAMS-165-16ST;Asahi Meister Peripheral Vascular Guide Wire 165cm;;WAMS-165-16ST;;40;40;24,00;;;
AG14M070;Asahi Miracle 12;;AG14M070;;45;225;24,00;550;EUR;True
AG14M050;Asahi Miracle 3;;AG14M050;;45;225;24,00;550;EUR;True
AG14M060;Asahi Miracle 6;;AG14M060;;45;225;24,00;550;EUR;True
AGH146000;Asahi PROWATER 180cm;;AGH146000;;35;175;24,00;;;True
AHW10S302S;ASAHI RG3;;AHW10S302S;;60;300;24,00;600;EUR;True
G6SC35-0-L100;Asahi Sheatless Eaucath 6.5F sc3.5;;G6SC35-0-L100;;45;45;24,00;95;EUR;True
G6AL07-0-L100;Asahi Sheatless Eaucath 6.5fr AL0.75;;G6AL07-0-L100;;45;45;24,00;95;EUR;True
G6SP40-0-L100;Asahi Sheatless Eaucath 6.5Fr SP40;;G6SP40-0-L100;;45;45;24,00;95;EUR;True
G7SC35-0-L100;Asahi Sheatless Eaucath 7,5FSC3,5;;G7SC35-0-L100;;45;45;24,00;95;EUR;True
G7AL07-0-L100;Asahi Sheatless Eaucath 7.5F AL 0.75;;G7AL07-0-L100;;45;45;24,00;95;EUR;True
G7AL10-0-L100;Asahi Sheatless Eaucath 7.5F AL 1.0;;G7AL10-0-L100;;45;45;24,00;95;EUR;True
G7JR50-0-L100;Asahi Sheatless Eaucath 7.5F JR50;;G7JR50-0-L100;;45;45;24,00;95;EUR;True
G7PB35-0-L100;Asahi Sheatless Eaucath 7.5F PB35;;G7PB35-0-L100;;45;45;24,00;95;EUR;True
G7SC40-0-L100;Asahi Sheatless Eaucath 7.5F SC40;;G7SC40-0-L100;;45;45;24,00;95;EUR;True
G7SP35-0-L100;Asahi Sheatless Eaucath 7.5F SPB3.5;;G7SP35-0-L100;;45;45;24,00;95;EUR;True
G7JR40-0-L100;Asahi Sheatless Eaucath 7.5FJR40;;G7JR40-0-L100;;45;45;24,00;95;EUR;True
G7JL40-0-L100;Asahi Sheatless Eaucath7.5F JL40;;G7JL40-0-L100;;45;45;24,00;95;EUR;True
G6JR40-0-L100;Asahi Sheatless Eucath 6.5Fr JR40;;G6JR40-0-L100;;45;45;24,00;95;EUR;True
G7AL20-0-L100;Asahi Sheatless Eucath 7.5F AL20;;G7AL20-0-L100;;45;45;24,00;95;EUR;True
G7JL35-0-L100;Asahi Sheatless Eucath 7.5F JL35;;G7JL35-0-L100;;45;45;24,00;95;EUR;True
G6SP35-0-L100;Asahi Sheatless Eucath6.5FSPB3.5;;G6SP35-0-L100;;45;45;24,00;95;EUR;True
G6AL10-0-L100;Asahi Sheetless Eaucath 6.5fr AL1.0;;G&AL10-0-L100;;45;45;24,00;95;EUR;True
AHW14R304S;Asahi Sio Blue PTCA ohjainvaijeri 300cm;;AHW14R304S;;36;180;24,00;410;EUR;True
APW14R010S;Asahi Sion black;;APW14R010S;;40;200;24,00;525;EUR;True
APW14R310S;ASAHI SION black 300cm;;APW14R310S;;43;215;24,00;540;EUR;True
APW14R010J;Asahi Sion Black J;;APW14R010J;;43;215;24,00;525;EUR;True
AHW14R017S;ASAHI SION blue ES;;AHW14R017S;;36;180;24,00;395;EUR;True
AHW14R017J;Asahi Sion Blue ES J;;AHW14R017J;;35;175;24,00;395;EUR;True
AHW14R004J;Asahi Sion Blue J-TIP ohjainvaijeri;;AHW14R004J;;38;190;24,00;395;EUR;True
AHW14R004S;Asahi Sion Blue PTCA ohjainvaijeri;;AHW14R004S;14547327086261;33;165;24,00;395;EUR;True
AHW14R001J;Asahi Sion J-tip ohjainvaijeri;;AHW145R001J;;38;190;24,00;395;EUR;True
AHW14R001S;Asahi Sion PTCA ohjainvaijeri ;;AHW14R001S;;35;175;24,00;395;EUR;True
AHW14R301S;Asahi Sion PTCA ohjainvaijeri 300cm;;AHW14R301S;;38;190;24,00;395;EUR;True
AG141000;Asahi Soft 180cm;;AG141000;;35;;24,00;;;True
STP125-20S;Asahi Stridesmooth+;;STP125-20S;;180;;24,00;360;EUR;True
STP150-20S;Asahi Stridesmooth+;;STP150-20S;;180;;24,00;360;EUR;True
AHW14R013P;"Asahi SUOH 03 0,014"" 190cm Mini pre-shape";;AHW14R013P;;;;24,00;235;EUR;True
AT24135;ASAHI Tornus Catheter;;AT24135;;250;250;24,00;490;EUR;True
AT35135;ASAHI Tornus88flex;;AT35135;;250;250;24,00;495;EUR;True
PAGH18M070;Asahi Treasure 12;;PAGH18M070;;50;250;24,00;100;EUR;True
AHW14S003S;Asahi ULTIMATEbros3;;AHW14S003S;;50;250;24,00;575;EUR;True
YOKOA;Asahi Y-connectorset OKAY11;;YOKOA;;16;320;24,00;640;EUR;True
