Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
BioMatrix Alpha 3.5 x 14 mm (W16050105D);27.11.2017 12:31;1;"";9.5.2018;08888893018911;W16050105D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 19 mm (W16030039);8.12.2016 10:41;3;"";7.3.2017;08888893018928;W16030039;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 19 mm (W16040544D);19.5.2017 15:01;1;"";3.5.2018;08888893018928;W16040544D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 24 mm (W16030164);22.3.2017 15:05;1;"";14.3.2017;08888893018935;W16030164;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 24 mm (W16040359D);27.4.2017 14:23;1;"";25.4.2018;08888893018935;W16040359D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 24 mm (W17020144);11.4.2017 13:48;1;"";14.2.2018;08888893018935;W17020144;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 29 mm (W17030330);29.9.2017 14:28;1;"";22.3.2019;08888893018942;W17030330;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 33 mm (W16020242D);15.5.2017 13:15;1;"";28.2.2018;08888893018959;W16020242D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 33 mm (W17020281);27.4.2017 14:26;1;"";20.2.2018;08888893018959;W17020281;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 36 mm (W16120097);15.3.2017 13:40;2;"";13.12.2017;08888893018966;W16120097;KYS Kaupintavarasto BMX6
BioMatrix Alpha 3.5 x 36 mm (W16120359);15.3.2017 13:29;1;"";28.12.2017;08888893018966;W16120359;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.0 x 14 mm (W16010293);17.10.2016 11:31;-1;"";25.1.2017;08888893018980;W16010293;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.0 x 14 mm (W16030158D);13.11.2017 13:59;1;"";14.3.2018;08888893018980;W16030158D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.0 x 29 mm (W16120362);9.6.2017 15:01;1;"";28.12.2017;08888893019017;W16120362;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.00 x 09 mm (W16050283D);13.11.2017 13:58;1;"";23.5.2018;08888893018973;W16050283D;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.00 x 19 mm (W16030047);17.1.2017 13:54;1;"";7.3.2017;08888893018997;W16030047;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.00 x 19 mm (W17020425);27.4.2017 14:23;1;"";20.2.2018;08888893018997;W17020425;KYS Kaupintavarasto BMX6
BioMatrix Alpha 4.00 x 24 mm (W16020245);14.11.2016 15:17;1;"";28.2.2017;08888893019000;W16020245;KYS Kaupintavarasto BMX6
BioMatrix NeoFlex 2.50 x 14mm (W14070233);4.10.2016 11:18;1;"";21.7.2016;08888893016214;W14070233;KYS Kaupintavarasto BMX6
BioFreedom 2.50 x 08 mm (W17020471);11.9.2017 8:10;1;"";2.9.2018;08888893014456;W17020471;Kuopio Radiologia
