Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 4.0 mm x 18 mm (7022241915077);28.3.2018 13:32;1;"";29.2.2020;08717648164491;7022241915077;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 18 mm (7092741915106);28.3.2018 13:30;-1;"";4.10.2020;08717648164491;7092741915106;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 18 mm (7092741915142);19.1.2018 14:11;1;"";4.10.2020;08717648164491;7092741915142;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 18 mm (7111841915423);28.2.2018 13:46;1;"";26.11.2020;08717648164491;7111841915423;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 23 mm (7072141915073);19.1.2018 14:09;1;"";31.7.2020;08717648164507;7072141915073;Kajaani kaupintavarasto BMXP BFR1
Abbott Xience PROX 4.0 mm x 23 mm (7101841915403);27.3.2018 10:08;1;"";25.10.2020;08717648164507;7101841915403;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 11 mm (W17120211);23.4.2018 10:30;1;"";18.12.2019;08888893014463;W17120211;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 14 mm (W16120110D);19.1.2018 14:21;2;"";15.12.2018;08888893014470;W16120110D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 18 mm (W16120328D);13.11.2017 11:14;1;"";27.12.2018;08888893014487;W16120328D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 18 mm (W16120335D);19.1.2018 14:21;1;"";27.12.2018;08888893014487;W16120335D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 24 mm (W17040267Z);17.5.2018 14:31;1;"";17.4.2019;08888893014494;W17040267Z;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 24 mm (W17100299H);25.1.2018 9:58;1;"";30.4.2019;08888893014494;W17100299H;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 28 mm (W17010150);22.9.2017 12:33;1;"";16.7.2018;08888893014500;W17010150;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 2.50 x 28 mm (W17040306D);2.2.2018 13:14;1;"";24.4.2019;08888893014500;W17040306D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 11 mm (W17100289H);25.5.2018 11:37;1;"";30.4.2019;08888893014623;W17100289H;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 14 mm (W16120349D);19.1.2018 14:21;1;"";27.12.2018;08888893014630;W16120349D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 14 mm (W17030315D);23.4.2018 14:53;1;"";22.3.2019;08888893014630;W17030315D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 18 mm (W17010134D);17.4.2018 14:21;1;"";16.1.2019;08888893014647;W17010134D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 18 mm (W17040276Z);17.4.2018 14:22;1;"";17.4.2019;08888893014647;W17040276Z;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 24 mm (W17010137D);18.5.2018 13:31;1;"";16.1.2019;08888893014654;W17010137D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 24 mm (W17100301H);18.5.2018 13:33;1;"";30.4.2019;08888893014654;W17100301H;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 33 mm (W16090395);22.2.2018 14:56;1;"";26.3.2018;08888893014678;W16090395;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.00 x 36 mm (W16120131D);9.3.2018 13:23;1;"";15.12.2018;08888893014685;W16120131D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 14 mm (W17040280Z);14.5.2018 12:18;2;"";17.4.2019;08888893014715;W17040280Z;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 18 mm (W17010143D);23.2.2018 13:20;2;"";16.1.2019;08888893014722;W17010143D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 24 mm (W17090160);26.3.2018 13:43;1;"";3.10.2019;08888893014739;W17090160;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 28 mm (W17040282Z);27.3.2018 10:08;1;"";17.4.2019;08888893014746;W17040282Z;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 3.50 x 33 mm (W17050077D);20.10.2017 11:31;1;"";16.5.2019;08888893014753;W17050077D;Kajaani kaupintavarasto BMXP BFR1
