Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 3.0 mm x 18 mm (8020541915065);29.3.2018 13:35;1;"";11.2.2021;08717648164347;8020541915065;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7021741915428);31.5.2017 11:46;-1;"";29.2.2020;08717648164354;7021741915428;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7021741916424);16.5.2017 12:47;-1;"";29.2.2020;08717648164354;7021741916424;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7021741916425);3.4.2017 14:12;1;"";29.2.2020;08717648164354;7021741916425;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7021741916427);3.4.2017 14:12;1;"";29.2.2020;08717648164354;7021741916427;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7032741915364);7.9.2017 9:50;-1;"";4.4.2020;08717648164354;7032741915364;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7032741915365);26.5.2017 14:20;1;"";4.4.2020;08717648164354;7032741915365;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7110341915381);29.1.2018 10:24;-1;"";13.11.2020;08717648164354;7110341915381;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7110341915383);8.1.2018 13:37;1;"";13.11.2020;08717648164354;7110341915383;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (7120741915080);6.2.2018 9:31;1;"";13.12.2020;08717648164354;7120741915080;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (8012941915268);20.4.2018 13:00;1;"";8.2.2021;08717648164354;8012941915268;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 23 mm (8012941916669);23.5.2018 14:45;1;"";8.2.2021;08717648164354;8012941916669;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (7022741915087);11.8.2017 10:49;-1;"";8.3.2020;08717648164361;7022741915087;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (7022741915430);3.5.2017 13:11;1;"";8.3.2020;08717648164361;7022741915430;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (7022741915653);3.5.2017 13:11;1;"";8.3.2020;08717648164361;7022741915653;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (7100441915289);24.11.2017 10:48;-1;"";8.10.2020;08717648164361;7100441915289;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (7100441915525);6.11.2017 13:23;1;"";8.10.2020;08717648164361;7100441915525;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (8020241915483);24.4.2018 13:52;1;"";11.2.2021;08717648164361;8020241915483;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 28 mm (8020241915976);10.4.2018 10:26;1;"";11.2.2021;08717648164361;8020241915976;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7020641915318);7.6.2017 13:40;-3;"";15.2.2020;08717648164385;7020641915318;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7020641915319);3.4.2017 14:12;1;"";15.2.2020;08717648164385;7020641915319;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7020641915879);10.4.2017 14:43;1;"";15.2.2020;08717648164385;7020641915879;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7020641916160);20.4.2017 11:17;1;"";15.2.2020;08717648164385;7020641916160;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7040741915215);7.9.2017 9:50;-1;"";18.4.2020;08717648164385;7040741915215;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7040741915216);6.6.2017 14:35;1;"";18.4.2020;08717648164385;7040741915216;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7090541915595);30.11.2017 13:29;1;"";12.9.2020;08717648164385;7090541915595;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7090541915604);14.5.2018 14:35;-1;"";12.9.2020;08717648164385;7090541915604;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (7112341915272);26.4.2018 11:16;1;"";3.12.2020;08717648164385;7112341915272;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 38 mm (8030641915530);14.5.2018 14:39;1;"";14.3.2021;08717648164385;8030641915530;Peijas BMXP BMX6
Abbott Xience PROX 3.0 mm x 8 mm (7011841915116);3.4.2017 14:02;1;"";24.1.2020;08717648164316;7011841915116;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 08 mm (7013141915230);28.4.2017 11:21;1;"";6.2.2020;08717648161834;7013141915230;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 08 mm (7013141915471);15.2.2018 8:52;-1;"";6.2.2020;08717648161834;7013141915471;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 08 mm (7102641915418);15.2.2018 9:03;1;"";9.11.2020;08717648161834;7102641915418;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7030341915062);4.9.2017 9:34;-3;"";12.3.2020;08717648161841;7030341915062;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7030341915091);3.4.2017 14:10;1;"";12.3.2020;08717648161841;7030341915091;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7030341915466);26.4.2017 14:07;1;"";12.3.2020;08717648161841;7030341915466;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7030341915523);15.6.2017 14:36;1;"";12.3.2020;08717648161841;7030341915523;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7030341915686);12.5.2017 13:52;1;"";12.3.2020;08717648161841;7030341915686;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7041141915466);9.3.2018 14:24;1;"";20.4.2020;08717648161841;7041141915466;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7120741915017);23.2.2018 14:34;1;"";14.12.2020;08717648161841;7120741915017;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 12 mm (7120741916360);10.4.2018 10:26;1;"";14.12.2020;08717648161841;7120741916360;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7011141915135);12.4.2017 13:36;1;"";17.1.2020;08717648161858;7011141915135;Peijas BMXP BMX6
