08717648164330;7032341;2020-04-04;-3
08717648164330;7040541;2020-04-18;-3
08717648164330;7052241;2020-05-28;-11
08717648164330;7052641;2020-06-06;-6
08717648164330;7071941;2020-07-31;-4
08717648164330;7082241;2020-08-28;-5
08717648164330;7091241;2020-09-17;-1
08717648164330;7102741;2020-11-09;0
08717648164330;7112441;2020-11-30;0
08717648164330;7121441;2021-01-01;1
08717648164330;8020541;2021-02-11;4
08717648164330;8031441;2021-03-21;2
08717648164347;6111641;2019-11-23;-5
08717648164347;7013041;2020-02-06;-3
08717648164347;7021441;2020-02-29;-1
08717648164347;7021541;2020-02-29;-2
08717648164347;7041241;2020-04-25;-6
08717648164347;7050441;2020-05-16;-6
08717648164347;7052541;2020-06-06;-2
08717648164347;7061541;2020-06-20;-2
08717648164347;7071841;2020-07-30;-2
08717648164347;7072741;2020-08-08;-3
08717648164347;7082941;2020-09-05;-3
08717648164347;7102741;2020-11-05;0
08717648164347;7122141;2021-01-08;0
08717648164347;8020541;2021-02-11;2
08717648164347;8030541;2021-03-14;5
08717648164354;6112141;2019-11-29;-2
08717648164354;7012641;2020-02-07;-1
08717648164354;7031041;2020-03-21;-1
08717648164354;7041241;2020-04-19;-2
08717648164354;7051841;2020-05-25;-8
08717648164354;7083041;2020-09-05;-7
08717648164354;7110341;2020-11-13;2
08717648164354;7120741;2020-12-13;1
08717648164354;7121141;2020-12-19;1
08717648164354;8011141;2021-01-21;2
08717648164354;8012941;2021-02-08;1
08717648164361;6111041;2019-11-22;-2
08717648164361;7040641;2020-04-19;-3
08717648164361;7061241;2020-06-18;-2
08717648164361;7111741;2020-11-22;2
08717648164361;7121341;2020-12-18;2
08717648164385;6111641;2019-11-21;-1
08717648164385;7040741;2020-04-18;-2
08717648164385;7051941;2020-05-30;-5
08717648164385;7102741;2020-11-09;1
08717648164385;7112341;2020-12-03;1
08717648164316;6112241;2019-11-29;-1
08717648164316;7011841;2020-01-24;-1
08717648164316;7050341;2020-05-14;-2
08717648164316;7062341;2020-07-04;-2
08717648164316;7080441;2020-08-15;-1
08717648164316;7090441;2020-09-10;1
08717648164316;7101141;2020-10-18;2
08717648161834;6112841;2019-12-06;-1
08717648161834;7082141;2020-08-30;1
08717648161834;7102641;2020-11-09;1
08717648161841;6112341;2019-11-30;-3
08717648161841;7020941;2020-02-19;-2
08717648161841;7030341;2020-03-12;-7
08717648161841;7050441;2020-05-14;-9
08717648161841;7062741;2020-07-03;-3
08717648161841;7080241;2020-08-13;-3
08717648161841;7082841;2020-09-05;-3
08717648161841;7102441;2020-10-30;0
08717648161841;7120741;2020-12-14;1
08717648161841;8030941;2021-03-18;3
08717648161858;6111041;2019-11-22;-1
08717648161858;7011141;2020-01-17;-1
08717648161858;7013041;2020-02-06;-4
08717648161858;7032241;2020-03-28;-4
08717648161858;7042641;2020-05-03;-2
08717648161858;7050941;2020-05-17;-14
08717648161858;7062741;2020-07-03;-5
08717648161858;7071141;2020-07-18;-5
08717648161858;7091241;2020-09-18;0
08717648161858;7102341;2020-11-01;0
08717648161858;7111641;2020-11-21;0
08717648161858;7123041;2021-01-10;0
08717648161858;8013041;2021-02-08;7
08717648161865;6111841;2019-11-28;-3
08717648161865;6122141;2020-01-11;-2
08717648161865;7013141;2020-02-12;-2
08717648161865;7021041;2020-02-19;-2
08717648161865;7032841;2020-04-04;-2
08717648161865;7041341;2020-04-25;-2
08717648161865;7050441;2020-05-17;-8
08717648161865;7062841;2020-07-05;-1
08717648161865;7072141;2020-08-01;-2
08717648161865;7082441;2020-08-30;-1
08717648161865;7111741;2020-11-26;0
08717648161865;7112041;2020-11-26;0
08717648161865;8012341;2021-01-31;1
08717648161865;8020641;2021-02-14;6
08717648161872;6101341;2019-10-18;-3
08717648161872;7031541;2020-03-22;0
08717648161872;7041341;2020-04-23;-2
08717648161872;7050441;2020-05-17;-3
08717648161872;7062041;2020-06-28;-2
08717648161872;7071241;2020-07-19;-2
08717648161872;7081841;2020-08-30;-1
08717648161872;7101941;2020-10-31;0
08717648161872;7110741;2020-11-13;0
08717648161872;7120141;2020-12-11;1
08717648161872;8010941;2021-01-16;2
08717648161872;8022341;2021-03-12;1
08717648161889;6110941;2019-11-22;-1
08717648161889;6113041;2019-12-06;-1
08717648161889;7022041;2020-02-23;-2
08717648161889;7061241;2020-06-15;-1
08717648161889;7082341;2020-09-04;3
08717648161889;7111541;2020-11-20;2
08717648161889;7122041;2021-01-07;1
08717648161889;8020141;2021-02-11;1
08717648161902;6111441;2019-11-22;-1
08717648161902;7111441;2020-11-20;1
08717648164460;7031341;2020-03-21;-1
08717648164460;7052241;2020-05-25;0
08717648164460;8011041;2021-01-18;1
08717648164477;7013141;2020-02-08;0
08717648164477;7062241;2020-07-04;-1
08717648164477;7090441;2020-09-10;0
08717648164477;7091541;2020-09-25;1
08717648164484;7010341;2020-01-08;-2
08717648164484;7042741;2020-05-09;-3
08717648164484;7062741;2020-07-03;-1
08717648164484;8022141;2021-03-08;1
08717648164491;6102541;2019-11-01;-1
08717648164491;7041841;2020-04-26;-1
08717648164491;7051641;2020-05-22;-4
08717648164491;7062841;2020-07-03;-3
08717648164491;7092741;2020-10-04;2
08717648164507;6122241;2020-01-11;-1
08717648164507;7050241;2020-05-09;-2
08717648164507;7062241;2020-06-27;0
08717648164507;7101841;2020-10-25;1
08717648164514;7081441;2020-08-24;1
08717648164521;7071241;2020-07-18;1
08717648164538;7032441;2020-04-02;1
08888893018706;W16040281;2017-04-20;-1
08888893018706;W16040281D;2018-04-20;1
08888893018751;W16100620;2017-11-02;1
08888893018751;W17040470;2019-04-26;1
08888893018713;W16020331;2017-03-07;-1
08888893018720;W17050310;2019-05-22;1
08888893018720;W17110395;2019-11-30;1
08888893018744;W16050384;2017-06-01;1
08888893018775;W16030395D;2018-03-28;-1
08888893018775;W17120178;2019-12-13;2
08888893018775;W18020178;2020-02-19;1
08888893018782;W17030421;2019-03-27;1
08888893018782;W17110391;2019-11-30;1
08888893018799;W16050407D;2018-06-01;1
08888893018805;W16020202D;2018-02-28;1
08888893018812;W18010083;2020-01-10;1
08888893018836;W17040468;2019-04-26;1
08888893018843;W16030576;2017-04-04;-1
08888893018843;W16030576D;2018-04-04;1
08888893018843;W16040283D;2018-04-20;1
08888893018843;W17060224;2019-06-19;2
08888893018843;W17100057;2019-10-10;2
08888893018843;W18020180;2020-02-19;2
08888893018850;W16100609;2017-11-02;-1
08888893018850;W17030221;2019-03-16;-3
08888893018850;W17030441;2019-03-29;-1
08888893018850;W17060083;2019-06-12;1
08888893018850;W18010354;2020-01-22;4
08888893018850;W18030449;2020-04-02;2
08888893018867;W16100610;2017-11-02;1
08888893018867;W17030227;2019-03-16;1
08888893018867;W17040449;2019-04-26;2
08888893018867;W17110398;2019-11-30;2
08888893018874;W17070095;2019-07-07;1
08888893018881;W18010089;2020-01-10;2
08888893018898;W16120080;2017-12-13;1
08888893018898;W17030204;2019-03-16;2
08888893018904;W17030103;2019-03-06;1
08888893018911;W16030054;2017-03-07;-1
08888893018911;W16030054D;2018-03-07;1
08888893018911;W17120379;2019-12-26;4
08888893018928;W16050106D;2018-05-09;-1
08888893018928;W17110511;2019-12-05;3
08888893018935;W16040542;2017-05-03;-3
08888893018935;W16040542D;2018-05-03;3
08888893018935;W17110516;2019-12-05;3
08888893018942;W17090084;2019-09-22;2
08888893018966;W16040537D;2018-05-03;1
08888893018966;W17050313;2019-05-22;1
08888893018980;W17110521;2019-12-05;1
08888893018997;W16040358;2017-04-25;1
08888893018997;W16050126D;2018-05-11;3
08888893019000;W16050085D;2018-05-09;1
08888893016320;W16030262;2018-03-16;-1
